AV/OV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
15,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201
16,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191
17,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182
18,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173
19,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164
20,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155
21,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147
22,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139
23,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131
24,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123
25,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109,116
26,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102,109
27,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95,102
28,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89,95
29,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83,89
30,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77,83
31,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71,77
32,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66,71
33,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61,66
34,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56,61
35,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51,56
36,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47,51
37,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43,47
38,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56,43
39,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,56
40,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35
41,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32
42,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29
43,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26
44,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23
45,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21
46,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19
47,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17
48,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15
49,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14
50,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13
EV/RV(Efeitos temporários),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2,2,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,4,3,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4,6,4,3,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5,8,5,4,3,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6,9,7,5,4,3,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,11,8,7,5,4,3,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8,12,9,8,6,5,4,3,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,14,11,9,8,7,5,4,3,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10,16,12,10,9,8,7,5,4,3,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
11,17,14,12,10,9,8,7,6,4,3,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
12,19,15,13,11,10,9,8,7,6,5,4,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
13,21,16,14,13,11,10,9,8,7,6,5,4,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
14,22,18,16,14,13,11,10,9,8,7,6,5,4,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
15,24,19,17,15,14,13,11,10,9,8,7,6,5,4,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
16,25,20,18,16,15,14,13,11,10,9,8,7,6,5,4,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
17,27,22,19,18,16,15,14,13,12,10,9,8,7,6,5,4,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
18,29,23,21,19,18,16,15,14,13,12,11,9,8,7,6,5,4,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
19,30,25,22,20,19,17,16,15,14,13,12,11,10,9,8,6,5,4,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
20,32,26,23,21,20,19,17,16,15,14,13,12,11,10,9,8,7,6,5,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
21,34,27,25,23,21,20,19,17,16,15,14,13,12,11,10,9,8,7,6,5,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,35,29,26,24,22,21,20,19,17,16,15,14,13,12,11,10,9,8,7,6,5,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
23,37,30,27,25,24,22,21,20,19,18,16,15,14,13,12,11,10,9,8,7,6,5,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
24,38,31,28,26,25,23,22,21,20,19,18,16,15,14,13,12,11,10,9,8,7,6,5,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
25,40,33,30,28,26,25,23,22,21,20,19,18,17,16,14,13,12,11,10,9,8,7,6,5,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
26,42,34,31,29,27,26,25,23,22,21,20,19,18,17,16,15,14,12,11,10,9,8,7,6,5,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
27,43,36,32,30,29,27,26,25,23,22,21,20,19,18,17,16,15,14,13,12,11,9,8,7,6,5,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
28,45,37,34,31,30,28,27,26,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
29,47,38,35,33,31,30,28,27,26,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
30,48,40,36,34,32,31,29,28,27,26,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
31,50,41,38,35,33,32,31,29,28,27,26,25,24,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
32,51,42,39,36,35,33,32,30,29,28,27,26,25,24,23,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
33,53,44,40,38,36,34,33,32,30,29,28,27,26,25,24,23,22,21,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
34,55,45,41,39,37,36,34,33,32,30,29,28,27,26,25,24,23,22,21,20,19,18,16,15,14,13,12,11,10,9,8,7,6,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
35,56,47,43,40,38,37,35,34,33,32,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,12,11,10,9,8,7,6,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
36,58,48,44,41,40,38,37,35,34,33,32,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
37,60,49,45,43,41,39,38,36,35,34,33,32,31,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
38,61,51,47,44,42,40,39,38,36,35,34,33,32,31,30,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,N,N,N,N,N,N,N,N,N,N,N,N,N,N
39,63,52,48,45,43,42,40,39,38,36,35,34,33,32,31,30,29,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,N,N,N,N,N,N,N,N,N,N,N,N,N
40,64,53,49,46,44,43,41,40,39,37,36,35,34,33,32,31,30,29,28,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,N,N,N,N,N,N,N,N,N,N,N,N
41,66,55,50,48,46,44,43,41,40,39,37,36,35,34,33,32,31,30,29,28,27,26,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,N,N,N,N,N,N,N,N,N,N,N
42,68,56,52,49,47,45,44,42,41,40,39,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,N,N,N,N,N,N,N,N,N,N
43,69,58,53,50,48,46,45,44,42,41,40,39,38,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,14,13,12,11,10,9,8,7,6,N,N,N,N,N,N,N,N,N
44,71,59,54,51,49,48,46,45,43,42,41,40,39,38,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,6,N,N,N,N,N,N,N,N
45,73,60,56,53,51,49,47,46,45,43,42,41,40,39,38,37,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,N,N,N,N,N,N,N
46,74,62,57,54,52,50,49,47,46,45,43,42,41,40,39,38,37,36,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,N,N,N,N,N,N
47,76,63,58,55,53,51,50,48,47,46,45,43,42,41,40,39,38,37,36,35,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,N,N,N,N,N
48,77,64,59,56,54,52,51,49,48,47,46,44,43,42,41,40,39,38,37,36,35,34,33,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,N,N,N,N
49,79,66,61,58,56,54,52,51,49,48,47,46,45,43,42,41,40,39,38,37,36,35,34,33,32,31,30,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,N,N,N
50,81,67,62,59,57,55,53,52,51,49,48,47,46,45,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,N,N
51,82,69,63,60,58,56,55,53,52,50,49,48,47,46,45,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,17,16,15,14,13,12,11,10,9,8,7,N
52,84,70,65,61,59,57,56,54,53,52,50,49,48,47,46,45,44,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,7
